movieId,genre
1,Adventure
1,Animation
1,Children
1,Comedy
1,Fantasy
2,Adventure
2,Children
2,Fantasy
3,Comedy
3,Romance
4,Comedy
4,Drama
4,Romance
5,Comedy
6,Action
6,Crime
6,Thriller
7,Comedy
7,Romance
8,Adventure
8,Children
9,Action
10,Action
10,Adventure
10,Thriller
11,Comedy
11,Drama
11,Romance
12,Comedy
12,Horror
13,Adventure
13,Animation
13,Children
14,Drama
15,Action
15,Adventure
15,Romance
16,Crime
16,Drama
17,Drama
17,Romance
18,Comedy
19,Comedy
20,Action
20,Comedy
20,Crime
20,Drama
20,Thriller
21,Comedy
21,Crime
21,Thriller
22,Crime
22,Drama
22,Horror
22,Mystery
22,Thriller
23,Action
23,Crime
23,Thriller
24,Drama
24,Sci-Fi
25,Drama
25,Romance
26,Drama
27,Children
27,Drama
28,Drama
28,Romance
29,Adventure
29,Drama
29,Fantasy
29,Mystery
29,Sci-Fi
30,Crime
30,Drama
31,Drama
32,Mystery
32,Sci-Fi
32,Thriller
33,Adventure
33,Romance
33,IMAX
34,Children
34,Drama
35,Drama
35,Romance
36,Crime
36,Drama
37,Comedy
37,Romance
38,Drama
39,Drama
39,War
40,Action
40,Crime
40,Drama
41,Drama
42,Action
42,Adventure
42,Fantasy
43,Comedy
43,Drama
43,Thriller
44,Drama
44,Romance
45,Mystery
45,Thriller
46,Animation
46,Children
46,Drama
46,Musical
46,Romance
47,Drama
47,Romance
48,Crime
48,Mystery
48,Thriller
49,Comedy
49,Drama
49,Romance
50,Adventure
50,Drama
51,Children
51,Comedy
52,Drama
53,Drama
54,Comedy
54,Drama
54,Romance
55,Drama
55,Mystery
56,Adventure
56,Children
56,Fantasy
57,Drama
57,Thriller
58,Drama
59,Comedy
59,Crime
60,Comedy
60,Romance
61,Comedy
62,Action
62,Sci-Fi
62,Thriller
63,Comedy
63,Romance
64,Comedy
65,Action
65,Comedy
65,Horror
65,Thriller
66,Action
67,Comedy
67,Drama
68,Drama
68,War
69,Drama
69,Romance
70,Comedy
70,Drama
71,Action
71,Sci-Fi
71,Thriller
72,Action
72,Crime
72,Drama
72,Thriller
73,Drama
73,Thriller
74,Children
74,Drama
75,Crime
75,Drama
75,Romance
76,Comedy
76,Drama
77,Drama
77,Romance
78,Comedy
78,Drama
79,Drama
79,Romance
80,Action
80,Adventure
80,Drama
81,Children
81,Comedy
82,Comedy
83,Action
83,Thriller
84,Drama
85,Drama
85,Horror
85,Thriller
86,Comedy
86,Horror
86,Romance
87,Comedy
87,Drama
87,Romance
88,Action
88,Adventure
88,Thriller
89,Comedy
89,Drama
90,Crime
90,Drama
91,Drama
91,Thriller
92,Adventure
92,Comedy
92,Crime
92,Romance
93,Comedy
94,Mystery
94,Sci-Fi
94,Thriller
95,Comedy
96,Drama
96,Romance
97,Adventure
97,Children
97,Comedy
97,Musical
98,Documentary
99,Action
99,Drama
99,War
100,Crime
100,Drama
100,Thriller
101,Action
101,Adventure
101,Comedy
101,Crime
102,Drama
102,Mystery
103,Drama
104,Comedy
105,Documentary
106,Crime
106,Drama
107,Comedy
107,Romance
108,Drama
109,Comedy
109,Romance
110,Drama
110,Mystery
110,Romance
111,Drama
112,Comedy
113,Adventure
113,Children
113,Fantasy
114,Comedy
114,Romance
115,Drama
115,Romance
116,Thriller
117,Comedy
118,Documentary
119,Drama
120,Drama
120,Romance
121,Comedy
122,Comedy
123,Action
123,Comedy
123,Crime
123,Drama
123,Thriller
124,Adventure
124,Children
125,Drama
126,Crime
126,Drama
126,Thriller
127,Adventure
127,Drama
127,IMAX
128,Action
128,Drama
128,Romance
128,War
129,Drama
129,Horror
130,Action
130,Adventure
130,Comedy
130,Crime
131,Drama
132,Adventure
132,Drama
132,War
133,Comedy
133,Drama
134,Comedy
134,War
135,Adventure
135,Children
136,Crime
136,Drama
136,Mystery
137,Action
137,Adventure
137,Mystery
137,Sci-Fi
138,Drama
138,Thriller
138,War
139,Documentary
140,Action
140,Romance
140,Western
141,Crime
141,Film-Noir
141,Mystery
141,Thriller
142,Action
142,Crime
142,Thriller
143,Comedy
143,Crime
143,Drama
144,Action
144,Drama
144,Romance
145,Adventure
145,Children
145,Drama
146,Action
146,Adventure
146,Crime
146,Thriller
147,Comedy
147,Drama
148,Action
148,Sci-Fi
148,Thriller
149,Action
149,Crime
149,Sci-Fi
150,Comedy
151,Drama
152,Comedy
153,Horror
154,Comedy
154,Drama
155,Drama
155,Romance
156,Comedy
156,Romance
157,Action
157,Children
158,Drama
158,Romance
159,Comedy
159,Horror
